study_hours,attendance,previous_score,assignment_score,internal_marks,sleep_hours,participation,parental_support,extracurricular,final_score
5.1,89.1,86.8,72.8,18.6,6.6,6,2,0,82.8
3.6,88.4,65.3,49.0,15.4,7.1,5,1,0,62.0
2.6,91.3,88.6,73.5,18.6,6.7,7,3,0,84.4
3.9,89.2,67.7,70.3,16.7,4.1,6,2,1,74.5
5.0,85.8,77.9,61.8,14.2,7.4,8,3,0,76.3
4.1,84.9,88.7,87.4,18.4,8.5,6,2,0,86.6
8.5,93.1,65.3,44.9,15.8,6.9,9,3,0,88.4
5.7,91.3,71.1,66.3,17.2,5.7,5,2,1,77.4
2.4,85.1,86.0,74.8,21.6,6.2,9,2,1,79.7
2.1,94.9,66.1,66.8,14.2,8.7,6,2,1,70.6
5.3,88.7,49.5,48.6,15.1,7.8,3,3,0,65.5
3.6,85.1,98.0,68.6,19.5,7.5,8,2,1,85.5
6.0,94.4,61.4,60.9,17.0,7.2,6,2,0,80.0
5.3,92.1,70.2,67.1,17.5,6.1,5,1,0,80.9
4.0,86.9,84.2,70.1,16.5,6.6,4,2,1,71.9
2.5,76.8,59.5,59.3,14.4,6.7,6,2,1,61.5
1.5,91.1,53.9,44.8,12.7,7.4,8,2,1,66.1
4.6,72.0,71.6,53.1,17.4,8.5,7,1,1,74.5
1.9,82.7,42.9,37.8,10.4,8.0,6,2,1,51.6
2.4,87.7,64.0,53.3,14.0,5.2,7,1,0,65.9
4.5,92.1,71.4,69.3,18.8,7.0,7,3,1,83.6
4.3,87.2,64.2,57.2,14.6,7.6,4,2,0,70.8
2.0,97.8,46.4,72.5,13.1,7.5,4,2,1,64.7
7.2,75.5,90.3,66.0,19.2,6.1,6,1,0,89.5
7.1,77.9,69.4,56.2,19.2,9.5,6,2,1,81.1
5.4,83.7,88.0,66.8,17.8,5.4,8,2,0,85.4
5.4,85.1,64.4,50.7,13.6,5.6,7,3,0,69.1
5.4,87.4,55.7,52.1,16.3,7.1,7,3,0,72.9
10.0,99.2,71.8,72.6,15.5,9.1,7,1,0,88.0
6.7,83.7,65.0,56.5,18.2,5.9,4,2,1,75.7
5.8,71.6,51.5,39.4,14.3,6.5,6,1,0,60.7
2.6,87.0,88.6,59.9,18.8,8.0,8,3,0,77.5
3.6,82.2,59.3,49.0,10.2,6.8,2,3,0,55.6
10.0,96.1,42.2,49.9,11.1,6.4,5,2,0,72.2
1.1,85.4,86.6,75.4,18.8,7.4,6,2,0,78.0
3.1,78.8,60.9,41.5,16.5,7.1,6,3,0,67.4
7.2,77.2,59.5,48.5,17.2,7.9,4,2,1,72.5
2.7,88.0,43.3,48.4,9.6,8.2,6,2,1,58.1
5.9,85.7,92.4,53.9,21.5,7.1,7,3,0,93.2
4.2,86.6,49.9,43.1,13.7,7.1,6,2,1,64.0
2.8,79.6,68.8,50.6,17.7,7.0,5,2,0,67.8
1.0,89.9,80.8,58.3,18.6,7.3,6,3,0,73.9
4.6,95.8,73.9,65.0,12.6,6.9,5,2,1,78.3
2.5,70.3,67.2,51.1,14.9,6.8,6,2,0,66.2
3.9,77.7,44.2,39.9,8.8,8.1,6,1,1,55.5
5.4,84.5,56.7,55.6,13.1,8.5,5,2,1,68.2
6.5,95.2,70.6,75.5,18.0,5.1,9,1,1,88.7
3.1,96.7,57.0,69.2,14.0,6.8,6,2,1,73.9
2.8,79.9,70.8,41.6,18.2,6.0,8,2,0,66.9
1.8,97.4,77.5,70.2,17.7,6.5,6,3,0,75.8
6.6,97.3,81.5,65.9,15.4,7.2,4,2,0,83.3
10.0,92.1,50.8,53.1,8.0,7.5,7,3,0,77.4
7.0,86.9,98.8,68.6,21.4,6.7,8,2,1,100.0
7.8,86.4,78.7,63.6,17.1,4.7,7,3,1,86.6
2.7,85.7,68.0,58.8,13.4,5.7,5,2,1,60.7
5.2,78.3,83.3,57.5,14.9,7.8,6,2,1,77.9
6.2,80.5,100.0,63.2,19.8,4.0,6,2,0,84.3
1.0,81.2,47.9,43.5,11.3,8.1,5,2,1,45.1
2.2,80.9,64.8,56.5,16.1,7.4,7,2,1,63.1
9.2,73.4,34.7,43.5,10.1,8.2,5,2,1,64.1
1.6,96.9,70.7,69.2,19.0,6.6,8,3,0,81.6
8.4,84.7,73.1,55.6,14.5,4.5,6,3,1,81.3
1.6,77.1,67.5,56.9,17.0,7.3,5,3,0,66.1
2.2,69.3,58.8,56.0,13.8,8.2,3,2,1,61.3
5.3,93.0,39.3,56.3,11.7,7.8,5,3,1,59.4
4.3,81.2,73.2,58.0,15.5,6.1,1,3,0,71.3
3.3,87.1,88.4,65.4,21.2,6.9,6,2,1,84.2
9.0,77.4,59.7,52.8,14.8,6.2,6,2,1,80.2
1.9,90.5,74.2,52.7,15.1,5.9,8,1,0,65.7
3.8,88.3,46.0,47.0,11.4,7.9,5,1,1,54.4
5.6,66.7,74.4,60.4,16.2,5.5,6,1,1,74.1
4.8,92.8,62.5,62.5,15.5,5.8,3,1,1,76.1
2.8,94.2,57.3,53.3,11.1,5.6,6,2,1,64.0
2.9,85.7,57.4,54.6,13.4,5.2,3,2,1,58.2
6.4,82.3,62.5,47.5,15.4,7.0,4,2,1,67.4
6.6,93.6,73.4,68.1,16.6,8.1,7,3,0,80.3
4.9,88.8,49.6,49.7,14.9,6.6,8,3,0,73.2
2.5,86.3,62.4,53.1,15.9,5.1,7,3,1,64.0
3.0,82.9,67.4,53.5,15.3,7.7,6,2,1,66.8
4.1,87.5,52.6,50.7,13.1,8.7,6,2,1,68.3
4.4,96.2,93.2,68.7,20.6,6.1,7,2,1,85.6
5.5,90.1,56.1,58.9,14.2,6.3,5,1,1,74.7
3.7,76.0,58.6,47.1,10.1,7.4,6,1,0,55.6
6.3,86.0,54.3,64.3,12.5,8.6,4,2,1,66.6
6.3,87.5,93.2,81.2,17.1,6.2,8,3,0,92.8
7.9,86.5,75.7,54.2,19.6,5.3,6,1,1,82.8
4.2,84.2,54.9,51.8,13.0,7.5,7,1,1,65.5
4.9,85.4,83.5,59.3,17.9,7.7,8,1,1,79.8
3.8,69.5,70.8,51.1,17.7,6.8,3,2,0,60.8
2.5,88.1,71.6,76.0,16.9,6.2,6,2,1,74.7
10.0,79.9,63.2,51.1,12.6,7.9,5,2,1,74.2
7.4,74.1,57.5,52.1,13.6,7.4,3,1,1,68.9
6.2,93.0,72.7,66.3,15.7,6.0,5,2,0,76.4
4.1,93.8,60.4,48.7,10.6,6.9,10,1,1,64.6
2.4,83.8,93.4,61.6,18.6,5.3,8,2,1,80.3
6.8,97.1,50.2,43.5,12.0,7.6,9,1,1,69.3
3.8,95.3,89.5,63.2,19.1,6.5,9,3,1,88.8
5.1,89.8,66.4,35.4,12.2,6.3,5,2,0,66.8
2.9,80.9,72.2,62.3,18.4,6.8,6,2,0,69.2
4.7,86.9,79.7,79.7,17.4,6.8,8,2,1,85.5
3.1,81.7,59.2,53.6,13.9,7.8,7,2,0,53.1
3.1,91.4,80.1,53.5,18.4,7.5,6,1,1,76.1
4.7,80.9,30.1,33.9,8.0,6.6,3,2,0,44.4
1.6,83.1,57.9,48.6,14.4,7.6,10,2,1,59.8
1.6,89.6,55.1,44.9,12.3,7.2,6,2,0,57.0
2.7,96.4,50.5,60.0,10.4,6.3,6,2,1,64.6
3.6,77.2,65.0,60.1,16.0,6.7,6,3,0,68.4
6.4,73.8,73.4,47.0,19.5,6.6,6,3,0,76.4
3.8,84.7,77.8,67.5,18.6,7.4,7,1,0,78.8
4.1,89.2,71.4,72.4,17.9,6.4,9,2,0,76.8
3.5,90.9,58.7,70.3,12.7,6.4,6,1,1,65.5
4.9,82.8,73.2,81.9,13.2,9.0,5,2,0,80.0
2.5,94.3,69.7,53.9,18.7,7.8,7,2,1,74.1
3.9,82.7,81.1,85.1,21.9,6.0,6,1,1,80.8
5.1,76.9,78.9,56.9,20.5,7.4,8,3,1,78.5
4.7,78.2,68.4,50.7,14.9,6.9,8,2,1,72.4
4.1,87.7,55.4,55.2,10.9,7.2,6,2,1,66.2
4.2,85.9,58.9,48.9,11.7,7.0,4,1,1,55.9
5.4,93.3,60.3,59.7,10.8,8.1,5,2,1,70.5
10.0,75.3,63.6,41.8,14.7,7.2,6,3,0,83.4
2.6,80.6,71.8,55.8,19.3,6.7,7,2,1,79.4
10.0,87.4,78.0,72.9,17.3,7.9,6,3,1,97.1
2.5,93.7,67.3,59.3,15.8,7.1,6,1,1,70.8
1.0,91.3,68.2,60.6,18.1,6.9,6,2,1,62.5
3.0,95.7,70.0,65.4,14.9,7.1,7,3,1,81.7
5.0,78.8,60.8,61.5,18.3,6.7,2,2,0,69.0
10.0,95.5,55.0,41.6,17.4,6.8,5,1,1,78.1
2.4,86.4,43.4,51.4,10.7,6.2,5,2,1,53.1
5.4,87.8,58.3,51.7,12.6,6.0,8,2,0,74.0
1.8,79.9,74.6,60.1,17.9,5.7,5,2,1,76.5
10.0,97.6,58.2,65.4,13.3,5.3,7,3,0,85.4
7.5,80.4,64.7,44.9,12.7,5.8,6,3,1,76.7
3.1,84.3,74.5,52.0,19.1,6.6,8,2,1,75.9
8.1,83.2,75.3,44.6,19.4,6.9,8,1,0,80.9
3.9,89.9,52.9,47.7,13.0,6.5,6,2,1,68.1
7.7,76.4,82.0,71.6,15.6,4.2,6,3,1,82.8
4.1,95.3,83.8,66.8,15.8,8.5,6,3,0,85.8
4.2,85.8,52.2,39.8,12.8,8.0,5,1,0,62.3
3.2,98.0,56.5,52.4,12.3,7.3,6,2,1,66.4
5.7,87.9,84.7,53.9,17.8,8.9,8,2,0,89.3
4.4,90.6,65.9,49.2,17.1,5.7,7,1,1,79.4
5.4,81.3,36.9,45.3,11.4,8.9,6,2,0,57.1
1.5,94.8,48.4,42.3,14.5,5.7,8,2,1,56.2
7.8,97.8,64.5,68.7,13.0,7.1,10,1,1,78.0
8.8,58.7,51.7,41.2,12.1,5.4,5,3,0,72.4
4.4,89.2,62.2,56.8,15.9,6.8,8,3,1,73.6
10.0,85.3,68.5,55.5,16.7,7.2,6,3,1,92.1
9.7,81.2,88.5,71.6,22.5,6.6,8,1,1,99.4
5.8,84.8,63.9,61.7,15.6,7.6,8,2,1,82.5
8.2,85.6,83.0,67.0,22.0,6.9,8,2,1,94.8
7.1,83.6,88.0,70.5,20.3,6.2,7,2,1,89.8
1.2,93.3,88.1,67.3,21.0,6.2,6,2,1,79.8
3.5,88.2,72.0,64.5,15.5,7.7,4,3,1,71.8
6.0,96.4,40.5,45.9,10.6,6.1,6,1,0,62.8
9.2,86.2,74.5,60.7,18.7,7.8,9,3,1,94.0
1.7,91.4,82.7,63.8,21.2,8.1,7,3,1,83.3
1.3,77.3,66.9,50.8,16.6,5.0,7,3,0,62.0
4.0,83.6,92.4,62.4,19.7,8.0,8,3,0,83.8
1.0,76.0,80.0,63.7,20.2,9.1,6,2,0,70.0
3.9,86.9,76.0,72.1,12.5,7.1,9,3,0,83.2
5.0,90.8,83.2,75.4,15.4,7.5,3,2,0,80.7
2.3,84.8,72.7,49.4,17.6,7.9,5,3,0,62.6
4.0,76.0,33.1,49.1,9.2,6.5,3,1,1,46.4
6.7,84.3,61.0,51.5,15.5,7.0,5,2,0,73.4
3.0,87.6,84.8,70.6,18.5,5.4,7,2,0,85.6
2.5,77.4,56.7,42.6,14.5,7.0,6,2,0,61.6
3.9,86.5,64.9,57.6,13.2,7.3,7,2,0,65.3
2.2,76.3,53.4,50.6,13.9,7.4,6,2,0,65.3
10.0,85.3,93.0,56.8,22.2,8.0,6,3,1,100.0
4.2,87.6,91.5,73.6,22.1,5.9,5,2,1,93.2
2.7,80.1,55.6,61.0,17.2,6.2,6,2,1,63.3
4.6,91.9,70.1,59.1,16.3,8.9,6,1,1,67.5
3.9,64.9,58.5,57.6,14.3,6.6,3,2,0,56.1
3.6,87.9,76.6,60.6,13.9,7.0,8,2,0,62.9
3.0,84.8,75.1,67.3,15.6,6.7,9,2,0,81.8
2.9,91.3,79.4,46.7,17.1,5.9,9,1,1,74.6
1.5,91.9,72.6,81.0,18.2,8.6,7,1,0,72.2
8.2,90.8,100.0,85.6,20.2,6.2,8,2,1,100.0
5.6,93.6,53.6,51.3,14.5,5.6,8,2,0,71.3
4.9,74.2,44.1,30.0,11.2,6.3,4,2,0,54.0
3.8,81.1,62.5,56.0,14.1,4.6,8,3,1,71.8
2.3,81.5,46.0,34.8,11.9,6.1,6,2,1,51.1
2.6,96.3,47.1,55.1,10.8,5.7,8,2,1,57.3
1.6,90.6,54.0,56.1,11.9,7.5,6,2,1,61.5
2.8,74.2,55.1,40.6,9.6,6.1,7,1,1,55.4
2.1,90.1,54.6,61.9,12.4,7.8,6,2,1,62.3
9.4,87.8,75.3,68.0,16.1,8.3,4,2,1,95.7
6.5,86.0,60.9,62.3,13.3,7.7,8,2,0,73.9
4.3,73.9,65.5,52.8,15.8,6.6,4,3,1,65.9
2.4,78.1,80.5,49.5,18.9,7.0,8,1,1,74.0
2.2,96.2,57.3,63.9,13.9,5.1,6,3,0,62.9
3.7,98.5,64.3,57.8,16.7,6.7,9,2,1,77.9
6.7,85.5,73.1,48.7,17.6,5.9,8,2,1,79.0
1.7,89.7,40.8,57.4,9.8,7.6,6,3,1,53.2
5.6,88.0,34.6,60.1,8.6,9.5,6,3,0,66.1
2.8,83.6,72.8,58.8,16.9,7.3,7,2,1,71.4
3.1,85.0,74.9,77.8,17.8,4.6,3,3,1,72.8
4.2,76.1,96.9,68.3,23.4,6.4,7,2,1,94.4
2.5,94.9,70.2,58.4,18.1,6.9,5,2,0,68.5
3.6,73.0,79.5,53.7,16.4,6.9,6,1,1,68.7
2.4,98.1,65.3,73.4,14.7,6.0,5,1,0,71.1
2.9,66.1,72.2,47.1,17.5,7.1,4,3,1,69.5
6.1,97.0,91.3,77.5,21.9,5.4,10,1,0,100.0
4.4,81.5,38.3,38.4,12.0,5.8,7,1,1,52.7
6.1,69.0,73.8,51.3,16.5,7.5,6,3,1,78.5
2.8,93.9,97.9,81.9,18.3,5.7,8,1,0,84.8
5.6,88.0,71.9,57.0,14.2,7.4,6,2,0,72.8
1.4,88.3,91.1,65.6,20.0,5.3,8,2,0,82.8
4.2,90.2,59.2,64.1,14.6,8.7,5,2,0,67.7
5.8,86.7,67.6,70.5,13.3,5.9,8,3,0,79.3
1.3,76.1,68.5,60.0,15.5,6.6,5,2,1,64.1
2.8,84.0,37.0,37.9,11.1,7.2,5,2,1,46.7
4.2,86.1,51.6,46.3,10.2,6.2,6,2,1,62.7
6.9,71.6,52.6,46.9,15.0,7.0,4,2,1,69.4
2.9,90.8,79.5,66.9,16.7,7.4,7,2,0,70.3
5.5,84.0,80.2,54.6,20.2,7.9,6,3,0,84.3
8.4,65.9,72.5,59.2,15.4,7.7,6,2,0,77.0
5.6,87.8,79.5,64.1,15.5,6.6,9,2,1,86.8
3.7,84.3,65.7,42.4,14.1,6.6,5,1,1,58.9
5.0,76.4,84.8,54.8,18.3,9.4,6,2,0,77.7
2.9,80.7,68.1,52.0,14.6,7.8,7,1,0,66.0
4.3,73.7,68.8,53.6,15.2,5.8,5,2,1,68.6
3.8,79.4,64.3,69.1,15.4,6.9,7,3,1,76.2
4.9,71.4,77.6,59.3,16.9,6.4,7,2,1,72.1
3.2,83.9,62.1,47.6,14.2,6.7,8,2,0,70.3
5.1,81.8,81.7,64.3,14.5,5.4,6,3,1,80.1
3.2,73.9,52.1,43.9,13.3,6.3,4,2,1,60.8
6.5,95.7,52.6,56.4,12.6,8.8,6,2,1,74.8
3.4,79.6,77.6,64.6,20.4,7.4,5,2,1,78.2
1.0,96.9,66.8,70.3,13.2,4.1,8,1,1,60.2
2.2,81.7,61.6,53.3,10.6,8.1,4,3,0,55.6
4.2,94.1,80.5,79.0,18.9,8.0,10,1,0,92.0
9.3,93.2,59.5,63.4,14.9,6.4,8,3,1,91.5
6.3,94.9,65.2,53.6,13.0,7.6,7,1,1,72.4
1.0,91.1,87.6,85.8,15.8,5.9,8,2,1,70.2
1.6,83.7,89.5,69.3,22.3,6.3,4,1,1,78.5
7.4,93.1,90.0,63.1,22.4,8.4,10,1,0,96.5
5.8,95.5,64.1,72.2,9.9,6.5,6,2,1,73.2
10.0,86.6,85.2,82.2,17.9,4.7,7,2,0,99.0
3.1,85.7,54.7,51.3,16.3,6.7,3,3,1,67.2
2.4,77.1,55.3,45.1,12.1,6.7,6,2,1,59.7
4.3,94.2,35.1,44.1,8.6,8.1,4,2,1,54.3
3.1,64.9,91.4,67.3,19.0,6.8,6,2,0,71.9
7.0,84.6,55.9,62.0,11.2,6.3,5,2,1,69.9
3.0,78.1,66.2,59.0,11.7,7.9,4,2,1,69.6
3.5,89.0,55.3,53.7,15.2,6.9,5,2,0,66.0
2.2,83.7,77.7,73.3,13.4,6.0,7,1,1,71.9
6.1,77.8,62.7,50.2,15.1,8.1,4,3,1,72.8
2.3,84.8,49.7,57.3,13.8,7.0,5,2,1,61.2
5.1,84.2,74.2,57.6,13.7,6.8,7,2,1,67.3
10.0,92.0,47.9,54.0,10.3,7.0,10,1,0,75.6
1.2,90.6,56.3,53.0,15.6,5.6,7,2,1,62.1
8.6,95.6,38.5,47.0,11.4,6.2,5,2,1,73.0
4.8,82.2,48.1,44.5,10.7,6.8,5,2,0,57.9
2.0,87.7,70.5,70.1,18.2,6.6,7,1,0,67.3
4.4,89.4,40.5,40.5,12.9,8.2,5,3,0,60.1
6.0,77.1,47.3,39.6,12.4,7.0,7,2,0,59.3
2.5,96.9,68.0,78.1,13.6,7.7,7,2,1,69.7
5.3,88.0,60.4,62.7,13.3,6.8,8,1,1,69.8
9.0,93.1,95.9,53.4,21.3,8.0,7,3,1,100.0
3.0,88.6,93.7,65.6,19.6,7.2,9,1,0,87.8
2.2,63.8,55.8,30.7,15.0,6.8,5,3,1,55.8
3.8,95.3,75.8,56.5,13.8,6.8,6,3,1,76.5
4.2,81.2,78.5,35.8,14.4,5.8,10,2,1,73.0
7.2,96.3,59.6,56.1,14.4,7.4,4,3,1,77.6
3.8,87.9,47.1,39.7,10.7,6.8,5,2,1,58.3
3.2,94.9,67.8,60.9,14.1,6.2,6,1,1,61.9
2.2,99.0,65.6,47.7,11.4,8.0,10,1,0,64.1
1.4,82.5,61.9,54.5,14.3,5.4,9,2,1,59.6
1.8,87.1,74.2,57.5,16.3,6.3,9,1,1,74.5
1.8,88.6,57.5,65.8,14.7,7.9,6,2,1,64.7
3.5,88.4,51.9,62.5,12.7,7.1,10,2,1,68.1
1.5,75.4,69.5,61.3,15.3,6.7,6,3,0,60.5
4.0,90.0,73.4,58.8,18.8,7.1,8,2,1,83.0
10.0,87.8,51.5,66.7,10.1,7.0,6,2,1,80.2
7.3,89.6,81.0,52.2,19.0,5.1,7,3,1,89.3
3.5,95.8,43.2,38.4,8.0,6.4,6,1,0,48.4
10.0,86.1,59.9,53.4,12.6,8.6,6,2,1,77.6
4.3,80.7,64.4,72.4,12.4,6.1,7,3,1,73.4
4.6,99.4,59.1,56.3,15.4,6.4,7,1,1,70.4
3.8,69.0,60.1,47.3,13.9,6.2,5,2,0,61.9
4.0,94.2,94.2,60.5,20.1,6.7,10,2,0,81.8
3.0,89.3,56.1,60.9,11.0,6.2,2,3,1,59.1
3.6,95.5,100.0,82.7,20.6,7.3,9,2,0,100.0
8.7,94.8,74.1,69.5,15.2,7.0,8,2,1,91.9
7.7,78.1,69.3,50.8,16.6,7.7,8,3,1,82.9
1.0,90.3,74.7,56.4,14.5,5.6,7,1,1,71.5
1.6,83.3,100.0,60.9,23.7,6.4,7,3,1,79.0
2.6,70.3,54.1,47.2,9.5,6.6,7,3,0,51.5
6.7,78.7,52.3,39.7,11.1,7.3,8,3,1,65.6
7.8,89.3,57.4,44.5,17.1,5.9,6,3,1,81.5
6.0,93.6,68.5,56.9,14.8,7.8,7,2,1,81.0
2.0,90.7,43.8,44.4,8.4,8.1,8,3,1,50.6
3.0,80.6,68.3,51.8,15.9,5.7,3,2,1,68.3
5.4,75.8,91.7,68.9,18.8,6.3,6,2,0,84.0
3.6,79.2,70.1,57.1,14.1,6.2,8,1,1,73.1
3.3,93.0,63.9,55.7,12.5,9.5,8,3,1,66.3
3.3,97.6,59.3,58.9,19.4,6.3,7,2,1,75.0
7.4,96.0,80.6,58.6,17.4,8.6,7,3,1,88.3
5.6,93.8,56.4,55.8,9.6,5.4,5,1,0,66.6
3.4,87.5,93.8,71.0,23.0,5.7,6,3,1,88.4
4.9,98.4,95.1,61.8,21.6,6.0,10,3,1,95.9
1.8,74.3,71.6,63.6,14.4,5.9,5,2,0,65.4
3.0,90.7,67.8,52.0,13.5,6.5,7,2,1,69.5
7.1,93.4,82.4,67.2,19.5,6.0,6,2,0,93.2
1.5,74.9,83.3,70.4,17.6,5.9,8,1,1,74.4
5.7,87.3,56.7,60.4,9.6,8.1,5,2,0,64.2
